text,labels
"20. Российские спецслужбы пытаются подавить сигнал GPS не только в центре Москвы, чтобы защитить Кремль от вражеских беспилотников и ракет. Глушилки повлияли на работу авиалиний в Финляндии и странах Балтии, изза этого авиаперевозчикам им пришлось использовать альтернативные методы навигации, сообщает Bloomberg. Источник радиопомех, похоже, находится в Ленинградской области, они повлияли на авиаперевозки, но на земле GPS доступен, сообщило эстонское агентство по защите прав потребителей. В последние дни наблюдаются перебои в работе GPS в разных частях Эстонии, говорится в электронном письме транспортного ведомства страны. В Минобороны России не ответили на просьбу Bloomberg о комментарии.
",20. Технологии
"1. Максимальная концентрация макро в новом выпуске Индекса недели
",1. Финансы
"2. Набор добровольцев продолжается! Присоединяйся к нашей команде настоящих мужчин!
",2. Общее
"3. Таких фестивалей, как Великое русское слово, нужно проводить намного больше
",3. Общее
"4. Густой черный дым поднимается над промзоной Шебекино после обстрела
",4. Общее
"5. Известия публикуют кадры поражения очередной САУ 2С1 Гвоздика с помощью дронакамикадзе Ланцет, в конце видео видно возгорание
",5. Технологии
"6. В Красноярском крае бывший депутат Тасеевского районного совета Александр Хаконов сбежал в зону СВО и вступил в ЧВК Вагнер после того, как суд приговорил его к девяти годам и восьми месяцам колонии строго режима за убийство жены. Об этом пишет портал NGS24 со ссылкой на информированный источник. По версии следствия, Хаконов убил жену 28 марта 2022 года во время распития алкоголя. Мужчина, разгневанный высказываниями в свой адрес, схватил нож и нанес жене удары в область грудной клетки. От полученных ранений она сразу скончалась, рассказали в прокуратуре. По словам источника, после объявления судом приговора Хаконов, находясь в СИЗО, решил вступить в ЧВК. И уже отправился на фронт, избежав наказания.
",6. Политика
"7. Папе римскому Франциску провели операцию на кишечнике в римской клинике Джемелли, сообщает в среду Associated Press
",7. Общее
"8. Евгений Пригожин показывает образцовые блиндажи ЧВК Вагнер
",8. Общее
"9. Украинский контрацептив заявил в эфире телеканала Дождь, что Россию нужно уничтожить
",9. Политика
"10. Ситуация после разрушения Каховской ГЭС ухудшится в ближайшие часы ООН
",10. Общее
"11. Invite Agency и Insight People основные выгодоприобретатели запущенных процессов, так как обе компании верифицированы к участию в предвыборной кампании 2024 года
",11. Политика
"12. Противник перезагружается
",12. Общее
"13. Главное отличие MMIhttpst
",13. Общее
"14. Совфед РФ одобрил закон, который обязывает призванных на военную службу сдавать загранпаспорта государству. Требование сдавать загранпаспорта в случае призыва касается мужчин в возрасте от 18 до 27 лет, которые не пребывают в запасе и в отношении которых уже вынесено решение призывной комиссии о призыве. Паспорт нужно сдать в орган, выдавший этот документ миграционный отдел МВД или МФЦ. Сделать это необходимо в течение пяти рабочих дней с момента, когда владельца паспорта уведомили об ограничении права его права на выезд из страны.
",14. Политика
"15. AdIndex представил рейтинг медиабайеров в России по итогам 2022 года. Рынок однозначно изменился в этой категории произошло импортозамещение. СберМаркетинг, который по итогам 2021 года не упоминался в рейтинге, сейчас занимает 2 место с оборотом в 17,6 млрд рублей. На первом месте оказался лидер прошлогоднего рейтинга Media Instinct с оборотом в 21,7 млрд рублей.
",15. Финансы
"16. Нацбанк Украины разрешил банкам блокировать или закрывать счета граждан и юрлиц за отказ предоставить сведения об экономических связях с Россией
",16. Политика
"17. Киевский режим не считается с потерями и будет предпринимать новые попытки наступления, заявил в интервью РИА Новости Пушилин
",17. Политика
"18. Нацбанк Украины разрешил банкам блокировать или закрывать счета граждан и юрлиц за отказ предоставить сведения об экономических связях с Россией.
",18. Политика
"19. В ООН считают, что ситуация после разрушения Каховской ГЭС ухудшится в ближайшие часы изза продолжающегося подъема воды
",19. Общее
"20. Ситуация после разрушения Каховской ГЭС ухудшится в ближайшие часы ООН
",20. Общее
"1. Изза обвала дороги в районе села Лучистое, изменился график движения рейсовых автобусов
",1. Общее
"2. Российским региональным администрациям и парламентам спустили сверху установку отправить в зону СВО несколько чиновников и депутатов
",2. Политика
"3. Губернатор Белгородской области Гладков сообщил, что на территории Новой Таволжанки противника нет и разместилhttpst.menavideovidno62248 видео с кадрами посещения села
",3. Общее
"4. Белгородский губернатор Гладков сообщил, что побывал в Новой Таволжанке по его словам, на сегодняшний день противника там нет
",4. Политика
"5. ФБР помогало СБУ цензурировать публикации в Twitter российских политиков, отдельных журналистов и СМИ, включая РИА Новости и RT, пишут западные СМИ со ссылкой на утечку документов
",5. Политика
"6. В Петербурге задержали гражданина Беларуси, которого объявили в международный розыск изза критики Лукашенко во Вконтакте 34летнего мужчину задержали 6 июня около шести вечера у Владимирского собора, уточняет Фонтанка. По версии следствия Беларуси, осенью 2021 года он опубликовал несколько постов во ВКонтакте с критикой Лукашенко. Его объявили в международный розыск в январе 2022 года.
",6. Политика
"7. В ООН считают, что ситуация после разрушения Каховской ГЭС ухудшится в ближайшие часы изза продолжающегося подъема воды. каховскаягэс
",7. Общее
"8. ЛГБТактивисты пришли развращать детей в армянскую школу в ЛосАнджелесе, но были избиты родителями учеников.
",8. Общее
"9. Танки врага пытались прорваться в Новую Таволжанку, но sm,kb уничтожены нашими
",9. Политика
"10. Росстат Численность населения РФ с денежными доходами ниже границы бедности в первом квартале 2023 года составила 19,6 миллиона человек, или 13,5. tgrussia
",10. Финансы
"11. Поражение двух британских бронеавтомобилей Mastiff во время боевhttpst
",11. Общее
"12. Сбитый на Запорожском направлении украинский разведывательный БПЛА Лелека100 бортовой номер 955. ZA_FROHT
",12. Общее
"13. Украинский президент Зеленский признался, что шокирован реакцией ООН и Красного Креста на прорыв дамбы Каховской ГЭС. Об этом он сообщил в интервью Bild. По словам Зеленского, крупнейшие международные организации либо вообще не дали ответа на запрос о помощи, либо он был по сути отказом в дипломатических формулировках. Президент Украины заявил, что шокирован такой реакцией. То, что сейчас происходит, это трагедия. Экологическая катастрофа и человеческая катастрофа. Люди, животные погибли. С крыш затопленных домов люди могут видеть проплывающих мимо утопленников. Это можно видеть с другой стороны. Вывезти людей из оккупированной части Херсонской области очень сложно, подчеркнул Зеленский. каховскаягэс
",13. Политика
"14. Украинские войска пытались проломить линию обороны в ДНР с использованием большого количества техники одномоментно, заявил РИА Новости Пушилин. По его словам, российские подразделения сделали определенные выводы по другим этапам спецоперации, были готовы к этим действиям и успешно отразили атаку
",14. Политика
"15. Не играете с детьми? Они станут неудачниками
",15. Образовательный контент
"16. Иностранцы готовы массово переезжать в Россию
",16. Путешествия/релокация
"17. Президент Украины Владимир Зеленский заявил в среду, что сильно разочарован и шокирован реакцией ООН и Красного Креста на ЧП на Каховской ГЭС
",17. Политика
"18. Губернатор Белгородской области Гладков заявил, что на территории Новой Таволжанки противника нет и разместил видео с кадрами посещения села
",18. Общее
"19. Макрон в разговоре с Зеленским заявил, что Франция в ближайшие часы направит Украине помощь в связи с ЧП на Каховской ГЭС
",19. Политика
"20. МАГАТЭ признает, что ситуация вокруг Каховской ГЭС серьезная, но оснований для паники сейчас нет, заявил Гросси РИА Новости
",20. Общее
"1. Наступление ВСУ пошло не по плану противник ломаются и впадает в состояние фрустрации
",1. Политика
"2. Цены на пшеницу и кукурузу вырослиhttpswww.kommersant.rudoc6029584?fromhorizont_lenta после разрушения Каховской ГЭС. Во вторник, 6 июня, июльские фьючерсы на пшеницу росли почти на 4, на кукурузу в моменте поднимались на 2. Как отмечает Bloomberg, участники торгов опасаются дефицита поставок зерна. В краткосрочной перспективе возможны повреждения и зернохранилищ в низовьях Днепра. Украинские власти и вовсе предрекают превращение прибрежных территорий в пустыню уже в следующем году. По их данным, без источника воды на данный момент остались 94 оросительных систем в Херсонской области, 74 в Запорожье и около трети в Днепропетровской. каховскаягэс
",2. Финансы
"3. Совет Евросоюза расширил критерии для введения блокирующих санкций против российского бизнеса. Теперь санкции могут вводиться против любых бизнесменов и организаций, работающих в наиболее доходных секторах российской экономики, а также против членов семей ведущих российских бизнесменов.
",3. Политика
"4. Гросси заявил РИА Новости, что разрушение Каховской ГЭС может в среднесрочной перспективе лишить ЗАЭС источников охлаждения и спровоцировать очень серьезное повреждение реакторов. По его словам, такое возможно при дальнейшей деградации ситуации, но сейчас мы еще к этой точке не пришли.
",4. Общее
"5. Нацбанк Украины разрешил банкам блокировать или закрывать счета граждан и юрлиц за отказ предоставить сведения об экономических связях с Россией. banksta
",5. Финансы
"6. В Крыму студентов обязали пройти опрос о принадлежности к анимешникам, АУЕшникам и навальнистам
",6. Общее
"7. В России за последнюю неделю ускорился рост цен инфляция составила почти 2,7 в с равнении с тем же периодом 2022 года, тогда как неделю назад было 2,4. banksta
",7. Финансы
"8. В Москве строители многоквартирного дома уронили плиту на припаркованные машины
",8. Общее
"9. Украинские помойки и бомжиукронацисты РДК мы уже семь дней контролируем Новую Таволжанку
",9. Общее
"10. Глава Росрыболовства Шестаков__ То, как сейчас развивается рыбная отрасль в РФ с точки зрения модернизации, такого рынка потребления рыбной продукции ни в одной стране мира нет.__
",10. Общее
"11. Рост цен на стоматологию в российских регионах разогнался до 250. Причина в санкциях и проблемах с логистикой. Сильнее всего подорожали протезы в Ингушетии. За год цена на стоматологические конструкции выросли на 256 с 2920 рублей до 10380 рублей за штуку. Среди рекордсменов по ценам Калмыкия. Там цена на изготовление коронки увеличилась за год на 133. Если сравнивать в рублях, то в 2022 году одна коронка стоила 2305 рублей, а в 2023м уже 5360 рублей. В этом же регионе серьезно подорожали пломбы. Чтобы избавиться от кариеса в Калмыкии, придется выложить на 70 больше, чем в 2022 году 1882 рубля вместо 1097 рублей. rtvimain
",11. Общее
"12. А что там? Любопытный петербуржец случайно взорвал железную бочку и был госпитализирован
",12. Общее
"13. Корональный выброс массы при солнечной активности. Кометаhttpst.mekosmos_kometa_tg
",13. Технологии
"14. Отбить первый этап наступление ВСУ российским военным помогли рубежи обороны, созданные генералом Суровикиным, заявил генералмайор, герой РФ Сергей Липовой. Рубежи обороны это сдерживающий фактор для наступающих войск и сильный психологический фактор для обороняющихся войск. Мы успешно отразили атаки и подорвали их веру в победу. Время подтвердило правоту генерала Суровикина, сказал Сергей Липовой. Герой РФ предположил, что ВСУ продолжат атаковать российские позиции, чтобы выпросить у Запада больше оружия и денег. uranews
",14. Политика
"15. Российская армия уступает ВСУ важные позиции рядом с Артемовском Бахмутом, что может привести к трагическим последствиям и отступлению из недавно освобожденного города, заявил основатель ЧВК Вагнер Евгений Пригожин. По мнению Пригожина, сейчас ВСУ действуют теми же методами, что и Вагнер при освобождении Артемовска, беря его в клещи.
",15. Политика
"16. Первое беспилотное такси в Москве корреспондент РИА Новости узнала подробности проекта и его перспективы в столице
",16. Технологии
"17. Санкции, рецессия в экономике и усиление давление налоговых органов толкают российский бизнес к практикам 1990х. Чтобы уйти от уплаты налогов в бюджет в условиях, когда прибыли падают, а перспективы покрыты туманом, российские предприниматели начали массово регистрировать компанииоднодневки, httpst.memoscowtimes_ru13306сообщил в среду ЦБ РФ. Ежедневно в России выявляется порядка 500 технических компаний и ИП, заявил РБК директор департамента финансового мониторинга и валютного контроля Банка России Илья Ясинский. По его словам, количество вновь регистрируемых юрлиц резко возросло их около тысячи в день. При этом мы понимаем, что большая часть этой прибавки приходится на технические компании, которые специально создаются для того, чтобы встраиваться в систему проведения подозрительных операций, рассказал Ясинкий. Уход бизнеса в тень уже ударил по бюджету, который столкнулся с резким падением поступлений налога на прибыль и налога на доходы физических лиц. Сборы НДФЛ ключевого источника денег для региональных ключевого источника денег для региональных бюджетов, который обеспечивает субъектам каждый третий рубль собственных доходов, в первом квартале рухнули на 20.
",17. Финансы
"18. Губернатор Белгородской области На территории Новой Таволжанки противника нет
",18. Общее
"19. А вот и те самые танки ВСУ в районе Новой Таволжанка, о которых писалhttpst.mevoenacher46072 ДОРОГОЙ БРАТ Старше Эдды, только уже горят. Сам посёлок Новая Таволжанка под контролем русской армии. razved_dozor
",19. Политика
"20. Бойцы ОБТФ ДНР Каскад достойно встретили масштабно анонсированный контрнаступ врага
",20. Политика
"1. Поджог леса в заповеднике на Кинбурнской косе произошел изза украинского обстрела зажигательными снарядами, сообщил РИА Новости замглавы Голопристанского муниципального округа Тистол
",1. Политика
"2. Власти Кипра отказались признать поджог причиной пожара в Российском центре науки и культуры в Никосии
",2. Политика
"3. украинцы, понаступали?
",3. Общее
"4. Уровень воды в резервуарах Запорожской АЭС снижается на 57 см в час, заявил глава МАГАТЭ Гросси
",4. Общее
"5. В Вилюйске Камчатского края оштрафовали на 30 тысяч рублей командира военизированной охраны ВОХР Александра Мялика. Причина дискредитация армии РФ. Донесла на своего командира одна из его подчинённых. Остальные коллеги Мялика, присутствовавшие при разговоре, ее слова подтвердили. 06 января 2023 года, около 10 часов 00 минут находясь в комнате начальника караула, а затем в кухонном помещении она слышала, как Мялик А.Ф. в присутствии других стрелков обсуждал действующую власть и армию, допуская оскорбительные выражения в адрес Президента РФ и в адрес всех тех, кто его поддерживает, а так же допускал высказывания направленные на дискредитацию использования Вооруженных Сил Российской Федерации, говорится в постановлении суда. Административное дело против командира военизированной охраны возбудил отдел ФСБ при войсковой части. Govorit_NeMoskva
",5. Политика
"6. Кстати работа Ка52 в режиме теплака, для тех кому интересно
",6. Технологии
"7. Россиянам станет сложнее посетить пирамиды в Египте
",7. Путешествия/релокация
"8. Зеленский заявил, что его шокировала реакция ООН и Красного Креста на запросы о помощи после информации о разрушении плотины Каховской ГЭС по его словам, международные организации либо не дали ответа на запрос о помощи, либо ответили вежливым отказом
",8. Политика
"9. Народный Владлен
",9. Общее
"10. Клоун Тарас Березовец настолько заврался с перемогами украинского контрнаступа, что за ночь организовал наступление на... ОреховоЗуево Московской области
",10. Политика
"11. Фланг Артёмовска стратегически важный посёлок Берховка под полным контролем армии России вопреки слухам
",11. Политика
"12. Гросси в интервью РИА Новости поделился своей оценкой последствий разрушения Каховской ГЭС для Запорожской АЭС
",12. Общее
"13. Уровень воды в резервуарах Запорожской АЭС снижается на 57 см в час, заявил Гросси
",13. Общее
"14. ПредварительноУчасток дороги, обвалившийся в районе села Лучистое, будет перекрыт примерно полгода
",14. Общее
"15. Международная благотворительная организация Care International предупреждает об опасности противопехотных мин, которые могло смыть в результате разрушения дамбы Каховской ГЭС. Как сказано в заявленииhttpswww.care.orgnewsandstoriespressreleasesukraineexplosionofkakhovkaplantdisplacesnearly1900householdsfloatinglandminesandoilspillposefurtherthreat Care International, организация особенно обеспокоена в связи с тем, что мины могут находиться в потоке воды, которой затопило соседние с гидроэлектростанцией районы. В районе, где находилась Каховская плотина, установлено множество мин, которые сейчас плавают в воде и представляют огромную опасность, говорит руководитель отделения Care International в Украине Фабрис Мартин. Он также говорит, что разрушение дамбы может привести к катастрофическим последствиям для окружающей среды. Мартин напоминает, что в Днепр уже вылилось по меньшей мере 150 тонн нефти, и есть риск, что туда попадет еще 300 тонн. Это может привести к исчезновению национального природного парка Нижнеднепровский а его площадь составляет более 80 тыс. гектаров охраняемой земли. bbcrussian каховскаягэс
",15. Политика
